relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
86.0,6.9,6.6,1,-0.5162254994602414,0.3780427976430471
80.0,17.3,8.1,0,0.5938072877933466,2.3271148268113757
77.0,18.8,9.0,0,0.9192163575827936,2.5730875880534962
72.0,26.2,9.9,0,1.7326562780937682,3.972152723079705
77.0,29.6,9.3,0,1.6500571044204582,4.65511190394531
75.0,24.5,9.2,0,1.410605695973124,3.675200783033135
70.0,19.8,9.3,0,1.3671108642039749,2.7696636436491704
71.0,18.4,8.7,0,1.1751382519239864,2.530790887755481
73.0,29.8,8.8,0,1.8265319123179051,4.735792678020854
70.0,29.7,9.1,0,1.998012669214835,4.706893535584732
66.0,25.9,8.8,0,1.9293728604323515,3.997651552515802
64.0,24.7,9.0,0,1.9695873514526123,3.7579987762990816
55.0,25.3,10.4,0,2.5839685639702057,3.8160957729469684
51.0,23.1,11.3,0,2.718565126510132,3.3454634589860928
51.0,20.0,12.0,0,2.5733894516570035,2.700335125797871
52.0,20.9,12.3,0,2.605770542811878,2.85432434178102
50.0,18.9,12.6,0,2.601892916339141,2.453060790678386
51.0,22.9,12.4,0,2.795885701823773,3.24009092832636
56.0,21.2,11.6,0,2.3633734475742147,2.9433974550484887
51.0,26.1,11.7,0,2.9476001425808147,3.904665145155107
45.0,26.8,11.7,0,3.3001024910800085,4.058142047617795
53.0,26.4,10.7,0,2.782792680518804,4.01765461470067
68.0,32.0,9.0,0,2.2424299376571417,5.16597780407155
77.0,28.4,8.2,0,1.4811938064520196,4.488242063637665
79.0,28.8,8.1,0,1.396887197938762,4.566284064968472
79.0,26.7,8.0,0,1.2513551042182514,4.163964214279105
81.0,27.1,7.7,0,1.150612476228363,4.254093627133306
84.0,26.2,7.2,0,0.8973080408156616,4.100621344687556
81.0,25.1,7.1,0,0.9705290997201895,3.901438188892956
80.0,26.7,7.0,0,1.1180531756397982,4.221508652399583
80.0,26.3,7.0,0,1.0918981120241418,4.143725117837478
83.0,24.5,6.8,0,0.8043988126911603,3.7971087653418896
82.0,22.7,6.8,0,0.7378228576160066,3.449975479308904
81.0,23.3,6.9,0,0.8363952939731057,3.5634996948868682
81.0,21.4,6.5,0,0.6792867028454767,3.2182027287636483
82.0,21.2,6.2,0,0.5904333106274031,3.1945494592711885
77.0,22.5,7.2,0,1.0132265207379363,3.4013719864635577
72.0,22.8,8.0,0,1.354196052332698,3.425823088774053
68.0,23.7,8.6,0,1.6668403286790137,3.5761442849546055
63.0,24.0,9.1,0,1.9831558310588282,3.6187265045501946
67.0,18.7,9.2,0,1.440331923108502,2.570480487854571
67.0,16.3,9.0,0,1.266965521937934,2.1158666920053206
67.0,11.7,8.3,0,0.9086562221896801,1.2636619848729675
79.0,6.4,5.5,1,-0.281464617734187,0.3675424792945886
83.0,5.8,4.4,1,-0.6155826450603378,0.3057774628441061
